title,pmid,abstract,indice
Lignans and tocopherols in Indian sesame cultivars,NA,NA,474
Quality and quantity of prevailing flavonoid glycosides of yellow and green french beans (Phaseolus vulgaris L.),NA,NA,475
Alkyklresorcinols in U.S. and Canadian wheats and flours,NA,NA,476
Strawberry consumption is associated with increased antioxidant capacity in serum,20136444,"Strawberries are known to contain antioxidants, but the significance of ingesting antioxidant-rich fruits remains to be established. In order to determine whether the consumption of strawberries impacted measures of in vivo antioxidant capacity, frozen strawberries (250 g) were administered daily for 3 weeks to 21 healthy female volunteers. Compliance was confirmed by quantitating pelargonidin-glucuronide, urolithin A-glucuronide, and 2,5-dimethyl-4-hydroxy-3-[(2)H]furanone-glucuronide in plasma and urine by liquid chromatography-mass spectrometry and antioxidant capacity in serum measured by the increase in lag phase of low-density lipoprotein after copper sulfate exposure, DNA strand breaks in lymphocytes, and activity of phase II enzymes. Among these measures lipid peroxidation lag time increased by 20% (P < .01), whereas other measures did not change significantly. The potent antioxidant defenses in humans make determination of changes due to dietary ingestion in healthy individuals difficult. In summary, daily consumption of strawberries resulted in a modest but significant increase in antioxidant capacity in a healthy population.",477
"Antioxidant capacity and phytochemical content of herbs and spices in dry, fresh and blended herb paste form",21118053,"We determined whether nine common herbs (basil, chili, cilantro, dill, garlic, ginger, lemongrass, oregano, and parsley) and one herb mixture (Italian Herbs) retain the antioxidant capacity (AC) and content of phenolics and characteristic marker compounds during processing to dry and paste forms. Oregano exhibited the highest AC among the herbs tested in dry and fresh forms. Compared with fresh herbs, the AC in dry form was decreased in garlic, chili, dill, oregano and parsley and paste form of oregano and basil. With the exception of dried garlic and lemongrass in fresh and paste form, all herbs in dry, paste, and fresh form contained significant AC. The AC was correlated significantly to the total phenolic content in both dry and fresh form. However, there was no significant correlation between the AC and the concentration of chemical marker compounds. In summary, processed herbs contribute significant amounts of AC to the diet.",478
Variations in the phenolic composition of fruit juices with different treatments,NA,NA,479
Determination of antioxidants in edible grain derivatives from the Canary Islands by capillary electrophoresis,NA,NA,480
Rapid separation of antioxidants in food samples by coelectroosmotic CE,NA,NA,481
Content of potentially anticarcinogenic flavonoids of 28 vegetables and 9 fruits commonly consumed in the Netherland,NA,NA,482
Optimization of a quantitative HPLC determination of potentially anticarcinogenic flavonoids in vegetables and fruits,NA,NA,483
"Content of potentially anticarcenogenic flavonoids of tea infusions, wines, and fruit juices",NA,NA,484
Detection of phloridzin in strawberries (Fragaria x ananassa Duch.) by HPLC-PDA-MS/MS and NMR spectroscopy,12720368,"The phenolic profile of strawberry fruits (Fragaria x ananassa Duch., Rosaceae) was investigated by high-performance liquid chromatography with photodiode array detection. A peak displaying retention time and UV spectral data identical to those of phloridzin (phloretin 2'-O-beta-d-glucoside), a dihydrochalcone glucoside so far considered characteristic of apples, was monitored. For further characterization, crude extracts of strawberries were purified on polyamide, and the target compound was isolated by preparative and analytical HPLC. Structure elucidation was performed on the basis of APCI- and ESI-MS in the negative ion mode as well as by 1D and 2D NMR spectroscopy using authentic phloridzin for comparison. The d-configuration of the sugar moiety was established by HPLC analysis of the corresponding acyclic 1-deoxy-1-(N-acetyl-alpha-methylbenzylamino)alditol acetate. Apart from its chemotaxonomic relevance, this first report on the occurrence of phloridzin in strawberries is of particular interest for the authenticity control of strawberry products such as juices, jams, and fruit preparations since phloridzin has so far been used for the detection of fraudulent admixtures.",485
Improved high-performance liquid chromatographic method for the analysis of naringin in grapefruit juice without extraction,NA,NA,486
"Content of CYP3A4 inhibitors, naringin, naringenin and bergapten in grapefruit and grapefruit juice products",10812937,"The flavonoids, naringin and naringenin and the furanocoumarin, bergapten (5-methoxypsoralen), were detected in some fresh grapefruit and commercial grapefruit juices but were not detected in other fruit juices tested (orange; orange with apple base; dark grape; orange and mango with apple base; orange, peach, passion fruit juice). The contents of these three grapefruit constituents in commercial juice and fresh grapefruit varied from brand to brand and also from lot to lot. Juice was prepared from the fresh fruit via different methods (by hand, squeezer or blender). The naringin content, after hand-squeeze, ranged from 115 to 384 mg/l. With hand-squeeze juice production, bergapten was not detected (less than 0.5 mg/l) in two varieties of grapefruit, and naringenin was usually not in detectable levels (less than 2 mg/l) in three varieties. All three constituents were present in New Zealand grapefruit preparations (including juice by hand-squeeze) and different lots showed variation in content (1.5-, 2.3- and 4.7-fold for naringin, naringenin and bergapten, respectively). Differences in the concentrations of these three constituents, which have potential for drug interaction, may contribute to the variability in pharmacokinetics of CYP3A4 drugs and some contradictory results of drug interaction studies with grapefruit juice.",487
"Extraction of lignans, proteins and carbohydrates from flaxseed meal with pressurized low polarity water",NA,NA,488
Gallic acid metabolites are markers of black tea intake in humans,10888536,"Gallic acid is one of the main phenolic components of black tea. The objective of this study was to identify urinary gallic acid metabolites with potential for use as markers of black tea intake. In an initial study, nine compounds, assessed by using gas chromatography-mass spectrometry, were found to increase in concentration in urine after 3 cups of black tea over 3 h. A subsequent study employed a controlled crossover design in which 10 subjects consumed 5 cups per day of black tea or water for 4 weeks in random order. Twenty-four hour urine samples were collected at the end of each period. Of the 9 candidate compounds identified in the initial study, only 3 were present at higher concentrations in urine of all 10 subjects during tea-drinking in comparison to water-drinking periods. These compounds were identified as 4-O-methylgallic acid, 3-O-methylgallic acid, and 3, 4-O-dimethylgallic acid, all methyl ether derivatives of gallic acid. It is suggested that these compounds have the potential to be used as markers of black tea intake.",489
Phenolic acid metabolites as biomarkers for tea- and coffee-derived polyphenol exposure in human subjects,14756917,"Tea and coffee are rich in polyphenols with a variety of biological activities. Many of the demonstrated activities are consistent with favourable effects on the risk of chronic diseases. 4-O-methylgallic acid (4OMGA) and isoferulic acid are potential biomarkers of exposure to polyphenols derived from tea and coffee respectively. 4OMGA is derived from gallic acid in tea, and isoferulic acid is derived from chlorogenic acid in coffee. Our major objective was to explore the relationships of tea and coffee intake with 24 h urinary excretion of 4OMGA and isoferulic acid in human subjects. The relationships of long-term usual (111 participants) and contemporaneously recorded current (344 participants) tea and coffee intake with 24 h urinary excretion of 4OMGA and isoferulic acid were assessed in two populations. 4OMGA was related to usual (r 0.50, P<0.001) and current (r 0.57, P<0.001) tea intake, and isoferulic acid was related to usual (r 0.26, P=0.008) and current (r 0.18, P<0.001) coffee intake. Overall, our present results are consistent with the proposal that 4OMGA is a good biomarker for black tea-derived polyphenol exposure, but isoferulic acid may be of limited usefulness as a biomarker for coffee-derived polyphenol exposure.",490
Flavonoid concentrations in the inner leaves of head lettuce genotypes,NA,NA,491
Buckwheat - the source of antioxidant activity in functional foods,NA,NA,492
Urinary excretion of strawberry anthocyanins is dose dependent for physiological oral doses of fresh fruit,18645999,"There is considerable interest in coloured fruits and berries as sources of biologically active anthocyanins. To examine the relationship between the oral dose and the amount excreted for anthocyanins from a food source across a physiological range of doses, volunteers were fed, in random order, four portions (100-400 g) of fresh strawberries as part of a standard breakfast. Urine was collected at 2 h intervals up to 8 h, and for the period 8-24 h. Fresh strawberries contained pelargonidin-3-glucoside as the major anthocyanin with smaller amounts of cyanidin-3-glucoside and pelargonidin-3-rutinoside. Anthocyanins were detected in the urine of all volunteers for all doses, predominantly as pelargonidin glucuronide and sulphate metabolites. There was a strong, linear relationship between oral dose and anthocyanin excretion (Pearson's product moment correlation coefficient = 0.692, p < 0.001, n = 40) which indicated that on an average, every additional unit of dose caused 0.0166 units of excretion. Within individuals, dose -- excretion data fitted a linear regression model (median R(2) = 0.93). We conclude that strawberry anthocyanins are partially bioavailable in humans with a linear relationship between oral dose and urinary excretion for doses up to 400 g fresh fruit.",493
Procyanidin dimer B2 [epicatechin-(4beta-8)-epicatechin] in human plasma after the consumption of a flavanol-rich cocoa,12324293,"Epidemiologic studies have linked flavonoid-rich foods with a reduced risk of cardiovascular mortality. Some cocoas are flavonoid-rich and contain the monomeric flavanols (-)-epicatechin and (+)-catechin and oligomeric procyanidins formed from these monomeric units. Both the monomers and the oligomers have shown potential in favorably influencing cardiovascular health in in vitro and preliminary clinical studies. Although previous investigations have shown increasing concentrations of (-)-epicatechin in human plasma after cocoa consumption, no information is available in the published literature regarding the presence of procyanidins in human plasma.",494
Metabolic profiling of flavonol metabolites in human urine by liquid chromatography and tandem mass spectrometry,15506818,"Twenty-one flavonol metabolites have been identified by LC/ESI-MS/MS in human urine, including isomers, after the consumption of cooked onions. Metabolites identified include quercetin monoglucuronides, methyl quercetin monoglucuronides, a quercetin monoglucuronide sulfate, quercetin diglucuronides, a methyl quercetin diglucuronide, quercetin glucoside sulfates, methyl quercetin, quercetin, and kaempferol monoglucuronides. The fragmentation patterns of flavonol metabolites obtained by MS/MS were distinctive for some isomers, indicating that fragmentation patterns may be useful predictors of conjugation position. Two isomers of sulfate quercetin glucosides were also found in urine, suggesting that many of the quercetin glucosides in onion are absorbed intact and undergo metabolism to the sulfate conjugate. Additionally, the interindividual variation in urinary quercetin metabolite profiles was determined by comparing the relative level of six different quercetin metabolites excreted in the urine of healthy volunteers. The ranges of quercetin metabolites excreted were similar among volunteers, yet notable differences in the levels of metabolites among individuals were observed. This study demonstrates the potential of monitoring the range of quercetin metabolites to reveal information on interindividual biotransformation capacity in response to dietary manipulations and as a biomarker for flavonol consumption.",495
Plasma profiling of intact isoflavone metabolites by high-performance liquid chromatography and mass spectrometric identification of flavone glycosides daidzin and genistin in human plasma after admin,18443032,"The roles of isoflavones in the prevention of several hormone-dependent cancers and osteoporosis are of great interest. Despite many pharmacokinetics studies of the isoflavones, the actual types of conjugates circulating in the body and the position(s) of conjugation sites on the flavone skeleton are still uncertain because, in general, conjugated compounds in biological fluids have been evaluated by measuring the free aglycones obtained after selective enzymatic hydrolysis. Using an high-performance (HPLC)-UV-diode-array detector (DAD) method combined with solid-phase extraction, we have obtained HPLC profiles of isoflavone glycosides [daidzin (Din) and genistin (Gin)] and of intact isoflavone metabolites in human plasma: daidzein, genistein, daizein-7-glucuronide, daidzein-4'-glucuronide, genistein-7-glucuronide, genistein-4'-glucuronide, daidzein-7-sulfate, daidzein-4'-sulfate, genistein-7-sulfate, and genistein-4'-sulfate. We investigated the plasma profile of intact isoflavone metabolites in plasma obtained 1 to-7 h after orally administration of 50 g of kinako (baked soybean powder) to two healthy volunteers. The results of DAD analysis indicated that the main isoflavone metabolite peaks were identified on the HPLC chromatogram. Furthermore, the intact glycosides Din and Gin were detected in 1-h plasma samples by their positive electrospray ionization mass spectra, demonstrating that the glycosides Din and Gin can be absorbed from the gut.",496
Changes in phytochemical and antioxidant activity of selected pepper cultivars (Capsicum species) as influenced by maturity,10820084,"The effect of fruit maturation on changes in carotenoids, flavonoids, total soluble reducing equivalents, phenolic acids, ascorbic acid, and antioxidant activity (AOX) in different pepper types (Capsicum annuum, Capsicum frutescens, and Capsicum chinese) was determined. Generally, the concentration of these chemical constituents increased as the peppers reached maturity. Peppers contained high levels of L-ascorbic acid and carotenoids at maturity, contributing 124-338% of the RDA for vitamin C and 0.33-336 RE/100 g of provitamin A activity, respectively. Levels of phenolic acids, capxanthin, and zeaxanthin generally increased during maturation, whereas the level of lutein declined. Flavonoid concentrations varied greatly among the pepper types analyzed and were negatively correlated to AOX under the conditions of the beta-carotene-linoleic assay. Model systems were used to aid in understanding the relationship between flavonoids and AOX. Significant increases in AOX were observed in pepper juice models in response to increasing dilution factors and the presence of EDTA, indicating a pro-oxidant effect due to metal ions in the system. In vitro models demonstrated that increasing levels of flavonoids in combination with constant levels of caffeic and ascorbic acid gave a resultant AOX that was either additive of the two compounds or competitive in their ability to scavenge peroxyl radicals. The model systems were in good agreement with the chemical composition of the pepper cultivars and reflected the interactions affecting AOX. More research is needed to understand the complex interactions that occur among various antioxidants present in pepper extracts.",497
Antioxidant capacity and phenolic content of spinach as affected by genetics and growing season,12358455,"Total phenolic content and antioxidant capacity of 11 commercial cultivars and 15 advanced breeding lines of spinach were determined over two growing seasons known to vary in biotic and abiotic stresses. Flavonoid composition and content of fall-grown commercial cultivars and advanced breeding lines were also determined. Over-winter spinach, which was planted in late fall and harvested in the spring, had much higher levels of total phenolics and antioxidant capacity than spinach planted in early fall and harvested in late fall, indicating that growing conditions, as well as biotic and abiotic stresses, influenced phenolic metabolism. Genotype also appeared to play an important role in affecting phenolic metabolism and antioxidant capacity in spinach. Advanced breeding lines of spinach, which show increased disease resistance, had higher levels of total phenolics, individual and total flavonoids, and antioxidant capacity than commercial cultivars. Our results indicate that plant breeders can select for increased phenolic content to increase antioxidant capacity in spinach cultivars, or the crops can be grown in different seasons or under certain stress conditions to elevate levels of antioxidants.",498
Jam Processing and Storage Effects on Blueberry Polyphenolics and Antioxidant Capacity,20055410,"Fresh blueberries were processed into sugar and sugar-free jams and stored for 6 months at 4 and 25 degrees C. The jams were analyzed immediately after processing and over 6 months of storage for polyphenolic content, percent polymeric color, and antioxidant capacity. Processing resulted in losses of anthocyanins, procyanidins, chlorogenic acid, and ORAC in both jam types, but flavonols were well retained. Marked losses of anthocyanins and procyanidins occurred over 6 months of storage and were accompanied by increased polymeric color values. Chlorogenic acid levels also declined during storage, but flavonols and ORAC changed little. Jams stored at 4 degrees C retained higher levels of anthocyanins, procyanidins, and ORAC and had lower polymeric color values than jams stored at 25 degrees C. Sugar-free jams retained higher levels of anthocyanins and had lower polymeric color values than sugar jams late during storage. Blueberry jams should be refrigerated to better retain polyphenolics and antioxidant capacity.",499
Comparability and reliability of different techniques for the determination of phenolic compounds in virgin olive oil,NA,NA,500
Limonoids and flavonoids in juices of Oroblanco and Melogold grapefruit hybrids,NA,NA,501
Determination of chlorogenic acid in coffee,NA,NA,502
Stability of Cocoa Antioxidants and Flavan-3-ols over Time,20560624,"Several recent reports have been published indicating that the antioxidant activity of olive oil and tea leaves is not stable over product shelf lives of about one year. We have measured the antioxidant activity, total polyphenols, flavan-3-ols monomers, and procyanidin levels in milk and dark chocolate, in cocoa powder, and in cocoa beans. Results show that for the cocoa products studied, antioxidant activity, and flavan-3-ol levels are stable over typical shelf lives of one year under controlled storage and over 2 years in ambient storage in the laboratory. We also show that 80 year old cocoa powder and 116 year old cocoa beans still show very high levels of antioxidant activity and flavan-3-ol content.",503
Urinary isoflavonoid phytoestrogen and lignan excretion after consumption of fermented and unfermented soy products,7722188,To compare the effects of consumption of fermented and unfermented soy products on excretion of urinary isoflavonoid phytoestrogens and lignans in healthy men.,504
"Vegetables, fruits, and legumes: effect on urinary isoflavonoid phytoestrogen and lignan excretion",7797807,"To compare the effect of vegetable, fruit, and legume consumption on urinary isoflavonoid phytoestrogen and lignan excretion.",505
Flaxseed influences urinary lignan excretion in a dose-dependent manner in postmenopausal women,11045796,"Dietary estrogens, such as lignans, are similar in structure to endogenous sex steroid hormones and may act in vivo to alter hormone metabolism and subsequent cancer risk. The objective of this study was to examine the effect of dietary intake of a lignan-rich plant food (flaxseed) on urinary lignan excretion in postmenopausal women. This randomized, cross-over trial consisted of three 7-week feeding periods during which 31 healthy postmenopausal women, ages 52-82 years, consumed their habitual diets plus 0, 5, or 10 grams of ground flaxseed per day. Urine samples collected for 2 consecutive days during the last week of each feeding period were analyzed for lignan content (enterodiol, enterolactone, and matairesinol) by isotope dilution gas chromatography/mass spectrometry. Compared with the 0-gram flaxseed diet, consumption of 5 or 10 grams of flaxseed significantly increased excretion of enterodiol by 1,009 and 2,867 nmol/day, respectively; significantly increased excretion of enterolactone by 21,242 and 52,826 nmol/day, respectively; and significantly increased excretion of total lignans (enterodiol + enterolactone + matairesinol) by 24,333 and 60,640 nmol/day, respectively. Excretion of matairesinol was not significantly altered by flaxseed consumption. Consumption of flax, a significant source of dietary estrogens, in addition to their habitual diets increased excretion of enterodiol and enterolactone, but not matairesinol, in a dose-dependent manner in this group of postmenopausal women. Urinary excretion of lignan metabolites is a dose-dependent biomarker of flaxseed intake within the context of a habitual diet.",506
Effect of processing and storage on the stability of flaxseed lignan added to bakery products,17090123,"This study investigated the effects of processing and storage on the stability of purified, flaxseed-derived secoisolariciresinol diglucoside (SDG) added to milk prior to the manufacture of different dairy products. We analyzed the effect of high-temperature pasteurization, fermentation, and milk renneting as well as storage on the stability of SDG added to milk, yogurt, and cheese. Also, the stability of SDG in whey-based drinks was studied. Added SDG was found to withstand the studied processes well. In edam cheese manufacture, most of the added SDG was retained in the whey fraction and 6% was found in the cheese curd. SDG was also relatively stable in edam cheese during ripening of 6 weeks at 9 degrees C and in yogurt during storage of 21 days at 4 degrees C. Up to 25% of added SDG was lost in whey-based drinks during storage of 6 months at 8 degrees C. We conclude that SDG can be successfully supplemented in dairy-based products.",507
Resveratrol and piceid levels in natural and blended peanut butters,11312807,"Peanut and its derivatives, especially peanut butter, are extensively consumed in many countries, mainly in the United States, which is also the major exporter of these products. trans-Resveratrol is present in peanuts, and recently this compound has been quantified in peanut butter. It is well-known that there are beneficial effects of trans-resveratrol and its glucoside, the piceid, in health. The absorption of trans-resveratrol has been proven in animals, and certain studies show that the absorption of some phenols is enhanced by conjugation with glucose, so that it could be possible that trans-piceid would be more absorbed than its aglycon (trans-resveratrol). In our work, we have identified the presence of trans-piceid in peanut butter with a new method to quantify trans-resveratrol and trans-piceid (3-beta-glucose of trans-resveratrol). This fact is very interesting because the glucosilated form could be more easily absorbed by the intestinal gut; in this way trans-piceid would exercise its beneficial function more efficiently than trans-resveratrol. To our knowledge, this is the first time that trans-piceid has been quantified in peanut butter. Resveratrol and piceid contents in natural peanut butters were found to be significantly higher than those in blended peanut butters.",508
Absorption and metabolism of delphinidin 3-O-beta-D-glucopyranoside in rats,15630238,"Anthocyanins, kind of flavonoids (FL) found in plants and vegetables, are known to have varieties of physiological functions. In the present study, we examined absorption and metabolism of delphinidin 3-O-beta-D-glucoside (Dp3G) in rats. Dp3G appeared in the plasma at 15 min after oral administration as an intact glucosidic form. The plasma level also showed another peak at 60 min. One metabolite peak was detected in the plasma and the structure was assigned as 4'-O-methyl Dp3G (MDp3G) by NMR and MS. The metabolite was also identified in several tissues as a major metabolite especially in the liver. No 3'-O-methyl Dp3G was detected in any tissues, therefore, 4'-OH methylation is the main path of Dp3G metabolism in rats. This finding generalized the metabolic formation of FL having pyrogallol B ring because it has been reported that FL having catechol structure produced 3'-O-methyl-derivatives, but FL having pyrogallol structure produced 4'-O-methyl-derivatives.",509
Extended glucuronidation is another major path of cyanidin 3-O-beta-D-glucopyranoside metabolism in rats,16131148,"We previously determined that five rather hydrophobic metabolites appeared in blood plasma after oral administration of cyanidin 3-O-beta-D-glucopyranoside, but a group of hydrophilic metabolites still remained unidentified. In the present study, 12 hydrophilic metabolites found were collected from urine and plasma samples by high-performance liquid chromatography (HPLC) and then analyzed by tandem MS spectrometry. From the MS spectra, four metabolites out of 12 were assigned as glucuronides of cyanidin 3-O-beta-D-glucopyranoside and six out of 12 were glucuronides of the primary metabolites of cyanidin 3-O-beta-D-glucopyranoside (O-methyl cyanidin 3-O-beta-D-glucopyranoside). Extended glucuronides of cyanidin 3-O-beta-D-glucopyranoside and O-methyl cyanidin 3-O-beta-D-glucopyranoside showed their maximum plasma concentrations at 15 and 60 min (or 30 min) after oral administration, respectively. Their maximum plasma concentrations ranged from 15 to 70 nM. From the profile of urinary-excreted anthocyanins after intravenous administration, it was deduced that extended glucuronides of cyanidin 3-O-beta-D-glucopyranoside and O-methyl cyanidin 3-O-beta-D-glucopyranoside were mainly produced in the liver rather than by intestinal flora. The area under the plasma concentration curve was 0.25 micromol min/L for extended glucuronides of cyanidin 3-O-beta-D-glucopyranoside and 0.14 micromol min/L for O-methyl cyanidin 3-O-beta-D-glucopyranoside, respectively, when evaluated as cyanidin 3-O-beta-D-glucopyranoside equivalent, indicating that extended glucuronidation is a critical pathway in cyanidin 3-O-beta-D-glucopyranoside metabolism in rats.",510
Bioavailability and tissue distribution of anthocyanins in bilberry (Vaccinium myrtillus L.) extract in rats,16939312,"To clarify how structural diversity of anthocyanins relates to their in vivo function, bioavailability was precisely studied in rats using bilberry (Vaccinium myrtillus L.) extract (Bilberon 25) as an anthocyanin source that contains 15 different anthocyanins. The bilberry extract was orally or intravenously administered to rats, and the plasma levels of each anthocyanin were determined by high-performance liquid chromatography. As the result, all anthocyanins except peonidin 3-O-alpha-L-arabinoside were detectable in the blood plasma. The plasma concentration of anthocyanins as a whole reached the maximum level of 1.2 microM at 15 min after oral administration of 400 mg/kg bilberry extract (153.2 mg/kg as anthocyanins) and then decreased with time. Uptake and decay profiles of each anthocyanin in the plasma were almost the same for all anthocyanins except a few with their maximum after 30 min. Among the anthocyanins carrying the same aglycone, the plasma level after 15 min of oral administration was as follows: galactoside > glucoside > arabinoside. Plasma clearance of anthocyanins after intravenous administration clearly showed that arabinoside disappeared more rapidly than glucoside and galactoside. On the other hand, when anthocyanins carrying the same sugar moiety were compared, the half disappearance time of plasma anthocyanins was in the following order: delphinidin > cyanidin > petunidin = peonidin > malvidin. The bioavailability of anthocyanins was in the range of 0.61-1.82% and was 0.93% as the anthocyanin mixture. The bioavailability of anthocyanins carrying the same aglycone was in the following order: Galactoside showed the highest followed by glucoside and arabinoside for cyanidin and delphinidin, but arabinoside and galactoside showed a higher bioavailability than glucoside for petunidin and malvidin. Anthocyanins recovered in urine and bile during the first 4 h after intravenous administration were only 30.8 and 13.4%, respectively. Anthocyanin profiles in tissues were quite different from those in blood plasma. The major anthocyanins distributed in liver and kidney were the O-methyl anthocyanins such as peonidin, malvidin, and other O-methyl anthocyanins derived from delphinidin, cyanidin, and petunidin-glycosides.",511
Effects of processing on total phenols and proximate composition of pigeonpea (Cajanus cajan) and climbing bean (Vigna umbellata),NA,NA,512
Changes in flavonoid content of grapefruit juice caused by thermal treatment and storage,NA,NA,513
Effects of cooking on the bioactivity of lotus roots and white onions,NA,NA,514
Distribution of conjugated and free phenols in fruits: antioxidant activity and cultivar variations,12381107,"Total and free phenolic contents of 16 commonly consumed fruits (comprising 9 apples, 4 pears, and one each of peach, plum, and kiwi fruit cultivars) were measured by Folin-Ciocalteu assay. Total phenol contents varied from 272 to 475 mg of CtE/100 g of fresh weight. Of the apple cultivars studied, Braeburn and Empire had the highest and lowest total phenol content, respectively. The apple cultivars ranked in the following decreasing order: Braeburn > Red Delicious > Crisp Pink > Granny Smith > Royal Gala > Bramley > Golden Delicious > Fuji > Empire. Among pear cultivars, the order was Forelle > Taylor's > Peckham's > Conference. Peach and plum equally had high contents. The percentage of conjugated phenolics ranged between 3 (Red Delicious) and 77% (Empire) of the total phenols. Comparison of different cultivars of the same fruit and between different fruits showed broad variations in both phenolic content and in vitro antioxidant activity; a weak correlation (R(2) = 0.58) was observed between the phenolic content of the fruits and the total antioxidant activity, as estimated by the FRAP assay. The calculated dietary intake of total, free, and conjugated phenols from average per capita consumption of apples and pears in different regions of the U.K. varied between 104-126, 53-64, and 51-62 mg of CtE/day, respectively.",515
Antinutritional factors and antioxidant activity in improved varieties of common bean (Phaseolus vulgaris),NA,NA,516
Evaluation of the phenolic content in the aerial parts of different varieties of Cichorium intybus L,16076140,"Fresh aerial parts of different chicory varieties: green chicory (c.v. ""Catalogna""), two red chicory varieties (""radicchio rosso di Chioggia"" and ""radicchio rosso di Treviso""), and Witloof or Belgian endive were analyzed by HPLC/DAD/MS. The chromatographic fingerprint was diagnostic for each variety. A monocaffeoyl tartaric acid, chlorogenic acid, and chicoric acid were detected in all the varieties, while cyanidin 3-O-glucoside, delphinidin 3-O-(6'' malonyl) glucoside, and cyanidin 3-O-(6'' malonyl) glucoside were the main phenolic compounds in the red varieties. The flavonoidic compounds, quercetin 3-O-glucuronide and luteolin 7-O-glucuronide, were absent in the Witloof sample. The phenolic compounds from total leaves were the same as those obtained from only the colored parts; nevertheless, the total amount was remarkably lower with a decrease of up to 80% for Belgian endive. Chemical stability at high temperature was observed for the phenolic fraction from the green variety after decoction at 100 degrees C for 30 min.",517
"Flavonoid content of commercial capers (Capparis spinosa, C. sicula and C. orientalis) produced in Mediterranean countries",NA,NA,518
Changes in polyphenolic content and radical-scavenging activity of sweetpotato (Ipomoea batatas L.) during storage at optimal and low temperatures,18038989,"Polyphenolic content and radical-scavenging activities (RSA) of four sweet potato (Ipomoea batatas L.) cultivars were characterized after storage at optimal (15 degrees C) or low temperature (5 degrees C) for 0, 13, 26, and 37 days. The polyphenolic content increased during storage in three cultivars but not in 'Murasakimasari'. The change in 1,1-diphenyl-2-picrylhydrazyl radical-scavenging activity (DPPH-RSA) correlated very well with polyphenolic content. The increases in polyphenolics and the RSA in 'Benimasari' were significantly greater during storage at 5 degrees C than at 15 degrees C. The main polyphenolic components in all cultivars were chlorogenic acid (ChA) and 3,5-di-O-caffeoylquinic acid (3,5-diCQA). ChA level increased more at 5 degrees C than at 15 degrees C, whereas that of 3,5-diCQA was greater at 15 degrees C. Caffeoylquinic acids and RSA in 'Murasakimasari', which contains a large amount of anthocyanin in flesh tissue, were extremely high at the beginning of storage and remained nearly constant or decreased over time. A non-caffeoylquinic acid component that increased during storage, especially in 'J-Red' at 15 degrees C, was purified by successive chromatographic steps. The isolate was identified as caffeoyl sucrose [CSu, 6-O-caffeoyl-(beta- d-fructofuranosyl-(2-->1))-alpha-D-glucopyranoside] by fast atom bombardment-mass spectroscopy (FAB-MS), infrared spectroscopy (IR), and nuclear magnetic resonance spectroscopy (NMR). These results suggest that storage under cultivar-dependent, controlled temperature is one approach for increasing desirable physiologic function associated with RSA of polyphenolic compounds in sweet potato roots.",519
Mass spectrometric identification and high-performance liquid chromatographic determination of a flavonoid glycoside naringin in human urine,NA,NA,520
Total antioxidant activity and phenolic content in selected vegetables,NA,NA,521
Polyphenol levels in human urine after intake of six different polyphenol-rich beverages,NA,NA,522
"Sterol ferulates, sterols, and 5-alk(en)ylresorcinols from wheat, rye, and corn bran oils and their inhibitory effects on Epstein-Barr virus activation",14582960,"Sterol ferulate, free sterol, and 5-alk(en)ylresorcinol constituents of wheat, rye, and corn bran oils were studied. Among the sterol ferulates, one novel compound, 24-methylenecholestanol ferulate (7), along with six known compounds, namely, 24-methylcholestanol ferulate (1), 24-methylcholesterol ferulate (2), 2-methyllathosterol ferulate (3), stigmastanol ferulate (4), sitosterol ferulate (5), and schottenol ferulate (6), were isolated and characterized. Five known free sterols, namely, 24-methylcholesterol (8), stigmastanol (9), sitosterol (10), schottenol (11), and stigmasterol (12), were isolated and identified. 5-Alk(en)ylresorcinols were found in wheat and rye bran oils but not in corn bran oil. Of these, one new compound, 5-n-(2'-oxo-14'-Z-heneicosenyl) resorcinol (19), and seven known compounds, namely, 5-n-heptadecyl- (13), 5-n-nonadecyl- (14), 5-n-heneicosyl- (15), 5-n-tricosyl- (16), 5-n-pentacosyl- (17), 5-n-(14'-Z-nonadecenyl)- (18), and 5-n-(2'-oxoheneicosyl)resorcinols (20), were isolated and characterized. These compounds were evaluated with respect to their inhibitory effects on the induction of Epstein-Barr virus early antigen (EBV-EA) by 12-O-tetradecanoylphorbol-13-acetate (TPA) in Raji cells, which is known to be a primary screening test for antitumor promoters. Four compounds, 1, 2, 4, and 11, showed potent inhibitory effects on EBV-EA induction.",523
